id	chr	start	end	strand	parent	fraction	identity	e-value	class	families
PGOHUM00000249546	8	7276367	7278062	+	ENSP00000340019	0.99	0.852	0.0	Processed	PF00118;
PGOHUM00000249549	8	7808186	7810027	+	ENSP00000384896	0.71	0.87	0.0	Duplicated	PF00096;PF01352;
PGOHUM00000249553	8	7953468	7954245	+	ENSP00000346050	1.0	0.799	0.0	Processed	PF01015;
PGOHUM00000249554	8	8011887	8074438	+	ENSP00000332656	0.68	0.53	2.0E-20	Duplicated	PF01663;
PGOHUM00000249558	8	9090523	9090958	+	ENSP00000360739	1.0	0.689	3.0E-22	Processed	PF00179;
PGOHUM00000249559	8	9311804	9314336	+	ENSP00000310831	0.29	0.63	7.0E-28	Duplicated	PF01535;PF02141;PF03455;PF03456;
PGOHUM00000250020	8	11113529	11114112	+	ENSP00000225430	1.0	0.77	0.0	Processed	PF01280;
PGOHUM00000249564	8	11647514	11647894	+	ENSP00000265073	1.0	0.945	3.00004E-41	Processed	PF02229;
PGOHUM00000249566	8	11968940	11970781	+	ENSP00000384896	0.71	0.88	1.4013E-45	Duplicated	PF00096;PF01352;
PGOHUM00000249572	8	12280179	12282589	+	ENSP00000340009	0.73	0.8	4.0E-28	Duplicated	PF00534;
PGOHUM00000249577	8	14166544	14167180	+	ENSP00000280892	0.89	0.896	0.0	Processed	PF01652;
PGOHUM00000250022	8	15800646	15801038	+	ENSP00000380156	0.97	0.74	2.00386E-43	Processed	PF01655;
PGOHUM00000249581	8	16232140	16232592	+	ENSP00000279242	0.98	0.574	1.0E-30	Processed	PF05046;
PGOHUM00000249583	8	17327027	17329181	+	ENSP00000352177	0.88	0.517	0.0	Processed	PF00200;PF01421;PF01562;PF08516;
PGOHUM00000249585	8	18228116	18228990	+	ENSP00000307218	1.0	0.63	0.0	Processed	PF00797;
PGOHUM00000249588	8	19095247	19098721	+	ENSP00000261173	0.65	0.41	4.00001E-41	Duplicated	PF00122;PF00689;PF00690;PF00702;
PGOHUM00000249592	8	22350130	22350592	+	ENSP00000338516	0.99	0.831	0.0	Processed	PF01849;
PGOHUM00000249594	8	23064556	23064898	+	ENSP00000400635	0.99	0.711	3.0E-25	Processed	PF00276;PF03939;
PGOHUM00000249596	8	26405224	26405918	+	ENSP00000216802	1.0	0.775	9.0E-34	Processed	PF02251;PF02252;
PGOHUM00000249597	8	26629313	26629646	+	ENSP00000346037	0.97	0.681	3.0E-13	Processed	PF00428;
PGOHUM00000249600	8	28083436	28085076	+	ENSP00000316476	1.0	0.66	0.0	Duplicated	PF00487;PF08557;
PGOHUM00000249601	8	28095947	28096517	+	ENSP00000347776	1.0	0.595	0.0	Processed	PF00595;
PGOHUM00000249602	8	28157200	28158080	+	ENSP00000359345	1.0	0.856	0.0	Processed	PF00861;
PGOHUM00000249603	8	28667620	28667931	+	ENSP00000404375	1.0	0.689	5.0E-21	Processed	PF00935;
PGOHUM00000249604	8	29076422	29076836	+	ENSP00000369904	0.97	0.529	9.0E-17	Processed	PF00505;
PGOHUM00000249607	8	29885229	29886413	+	ENSP00000302486	1.0	0.927	0.0	Processed	PF00069;
PGOHUM00000249608	8	30094898	30096905	+	ENSP00000376526	0.93	0.81	0.0	Duplicated	PF00012;
PGOHUM00000249609	8	30209524	30210855	+	ENSP00000339001	1.0	0.955	0.0	Processed	PF00091;PF03953;
PGOHUM00000249611	8	31950082	31950480	+	ENSP00000037869	0.99	0.591	4.0E-24	Processed	PF05811;
PGOHUM00000249612	8	32871599	32872543	+	ENSP00000354687	1.0	0.67	0.0	Processed	PF00146;
PGOHUM00000249613	8	32872787	32874561	+	ENSP00000355046	1.0	0.65	2.0E-19	Duplicated	PF00361;PF06444;
PGOHUM00000249615	8	33380672	33380809	+	ENSP00000370012	0.71	0.776	5.0E-13	Processed	PF01290;
PGOHUM00000249617	8	34731678	34732150	+	ENSP00000346027	1.0	0.956	0.0	Processed	PF01157;
PGOHUM00000249618	8	36136478	36136999	+	ENSP00000354665	1.0	0.759	2.0E-40	Processed	PF00499;
PGOHUM00000250024	8	36746000	36746783	+	ENSP00000368350	0.91	0.76	2.00386E-43	Duplicated	PF00838;
PGOHUM00000249621	8	36952668	36953889	+	ENSP00000323967	0.99	0.87	0.0	Processed	PF00505;
PGOHUM00000250025	8	39203387	39233383	+	ENSP00000265707	0.21	0.47	8.0E-14	Duplicated	PF00200;PF01421;PF01562;PF07974;PF08516;
PGOHUM00000249629	8	41128952	41129086	+	ENSP00000245458	1.0	0.625	1.0E-13	Processed	PF00253;
PGOHUM00000249637	8	43298045	43306786	+	ENSP00000260283	0.18	0.72	8.0E-17	Duplicated	PF00620;PF00788;
PGOHUM00000249646	8	47609252	47610307	+	ENSP00000175506	0.26	0.87	2.0E-30	Duplicated	PF00310;PF00733;
PGOHUM00000249647	8	47696415	47697468	+	ENSP00000400852	0.82	0.807	3.0E-26	Processed	PF00096;PF01352;
PGOHUM00000249648	8	47703667	47704741	+	ENSP00000343765	0.55	0.73	5.60519E-45	Duplicated	PF00097;PF00622;PF00643;
PGOHUM00000249649	8	47750401	47750822	+	ENSP00000354665	0.82	0.592	1.0E-15	Processed	PF00499;
PGOHUM00000250027	8	48068741	48069391	+	ENSP00000363018	1.0	0.926	0.0	Processed	PF00687;
PGOHUM00000249650	8	48076500	48077152	+	ENSP00000347988	0.98	0.91	3.0E-34	Duplicated	PF04716;
PGOHUM00000249652	8	49297152	49297618	+	ENSP00000294189	1.0	0.824	5.0E-31	Processed	PF01779;
PGOHUM00000249654	8	51403355	51403932	+	ENSP00000359226	0.83	0.596	2.0E-30	Processed	PF01108;
PGOHUM00000249655	8	51772090	51772619	+	ENSP00000338141	0.85	0.683	2.0E-35	Processed	PF06840;
PGOHUM00000249656	8	52348162	52349081	+	ENSP00000338862	0.87	0.798	0.0	Processed	PF04427;
PGOHUM00000249657	8	52882489	52882752	+	ENSP00000215570	1.0	0.625	4.0E-12	Processed	PF02953;
PGOHUM00000249659	8	54106906	54107935	+	ENSP00000278903	0.99	0.576	1.0E-19	Processed	PF07264;
PGOHUM00000249660	8	54306783	54307822	+	ENSP00000216367	0.73	0.466	7.0E-34	Processed	PF04042;
PGOHUM00000249661	8	54445843	54446261	+	ENSP00000346027	0.88	0.844	0.0	Processed	PF01157;
PGOHUM00000249662	8	54449620	54452857	+	ENSP00000261845	1.0	0.87	0.0	Duplicated	PF00069;
PGOHUM00000249666	8	55160194	55160475	+	ENSP00000357384	0.77	0.649	6.0E-26	Processed	PF08285;
PGOHUM00000249669	8	55608958	55609683	+	ENSP00000346063	0.98	0.88	0.0	Processed	PF00327;
PGOHUM00000249670	8	55750016	55765291	+	ENSP00000399618	0.78	0.5	1.0E-10	Duplicated	PF00167;PF01477;PF03607;
PGOHUM00000249671	8	57500966	57501256	+	ENSP00000274242	1.0	0.876	7.9874E-44	Processed	PF01907;
PGOHUM00000249673	8	58111669	58112135	+	ENSP00000365255	0.06	0.61	1.0E-18	Duplicated	PF00023;
PGOHUM00000249682	8	58305105	58305438	+	ENSP00000287038	1.0	0.748	1.0E-34	Processed	PF01248;
PGOHUM00000249683	8	59416156	59416623	+	ENSP00000419425	0.99	0.78	0.0	Processed	PF00160;
PGOHUM00000249686	8	61299821	61300551	+	ENSP00000264254	1.0	0.78	0.0	Processed	PF02114;
PGOHUM00000250030	8	61818665	61819095	+	ENSP00000372047	0.95	0.722	4.0E-39	Processed	PF04505;
PGOHUM00000249688	8	62114910	62115783	+	ENSP00000296930	1.0	0.935	0.0	Processed	PF03066;
PGOHUM00000249689	8	62490779	62492227	+	ENSP00000293308	1.0	0.95	0.0	Processed	PF00038;
PGOHUM00000250031	8	65244485	65244709	+	ENSP00000297564	1.0	0.587	5.0E-17	Processed	PF02937;
PGOHUM00000250032	8	66067675	66067987	+	ENSP00000408172	0.96	0.75	3.0E-14	Processed	PF01198;
PGOHUM00000249694	8	66289857	66290347	+	ENSP00000419425	0.99	0.799	0.0	Processed	PF00160;
PGOHUM00000249695	8	67393262	67393721	+	ENSP00000370197	0.88	0.799	0.0	Processed	PF01202;
PGOHUM00000249696	8	68097514	68098338	+	ENSP00000296930	0.96	0.85	0.0	Processed	PF03066;
PGOHUM00000249698	8	68481651	68482313	+	ENSP00000349212	1.0	0.721	6.0E-33	Processed	PF01849;
PGOHUM00000249699	8	68495010	68495526	+	ENSP00000354665	1.0	0.621	2.0E-24	Processed	PF00499;
PGOHUM00000249704	8	70358292	70358495	+	ENSP00000359675	1.0	0.662	7.0E-16	Processed	PF00631;
PGOHUM00000249705	8	70706319	70706948	+	ENSP00000393316	0.75	0.771	0.0	Processed	PF00085;
PGOHUM00000249706	8	70855183	70856521	+	ENSP00000260130	0.93	0.87	0.0	Duplicated	PF00595;
PGOHUM00000249707	8	71185609	71186074	+	ENSP00000338516	1.0	0.846	0.0	Processed	PF01849;
PGOHUM00000249709	8	72808230	72808564	+	ENSP00000009589	0.99	0.602	2.0E-17	Processed	PF00338;
PGOHUM00000249712	8	74563248	74564017	+	ENSP00000357556	0.99	0.805	0.0	Processed	PF00046;
PGOHUM00000249713	8	74743361	74743775	+	ENSP00000358097	0.77	0.691	2.0E-29	Processed	PF00615;
PGOHUM00000249715	8	74896728	74897132	+	ENSP00000246069	0.82	0.889	0.0	Processed	PF00241;
PGOHUM00000249716	8	74968118	74968881	+	ENSP00000346050	1.0	0.697	0.0	Processed	PF01015;
PGOHUM00000249717	8	76214531	76214809	+	ENSP00000319393	1.0	0.796	3.0E-37	Processed	PF04588;
PGOHUM00000249721	8	81213104	81213713	+	ENSP00000196551	1.0	0.843	0.0	Processed	PF00177;
PGOHUM00000249725	8	82539504	82539849	+	ENSP00000348849	1.0	0.826	2.0E-30	Processed	PF01283;
PGOHUM00000249729	8	85441557	85441811	+	ENSP00000403744	0.96	0.8	5.0E-33	Processed	PF00076;
PGOHUM00000249730	8	85591033	85592077	+	ENSP00000292644	0.82	0.761	0.0	Processed	PF00004;
PGOHUM00000249731	8	85860840	85861916	+	ENSP00000331514	0.99	0.674	0.0	Processed	PF00022;
PGOHUM00000249733	8	86726452	86728113	+	ENSP00000387566	0.95	1.0	0.0	Processed	PF00929;
PGOHUM00000250035	8	87029048	87029334	+	ENSP00000386655	0.85	0.81	2.0E-35	Processed	PF00935;
PGOHUM00000249735	8	87055331	87055736	+	ENSP00000380156	1.0	0.809	6.0E-14	Processed	PF01655;
PGOHUM00000249736	8	87515805	87517293	+	ENSP00000075120	1.0	0.86	0.0	Processed	PF00083;PF07690;
PGOHUM00000249744	8	92929735	92930137	+	ENSP00000362036	0.98	0.799	4.0E-35	Processed	PF00886;
PGOHUM00000249745	8	93984824	93986969	+	ENSP00000419950	0.87	0.55	2.0E-19	Duplicated	PF00605;
PGOHUM00000249747	8	94861789	94862305	+	ENSP00000217652	1.0	0.872	0.0	Processed	PF00036;
PGOHUM00000249748	8	95365151	95365870	+	ENSP00000362744	0.97	0.754	0.0	Processed	PF00467;PF00900;PF01479;PF08071;
PGOHUM00000250037	8	95577264	95577936	+	ENSP00000264258	0.98	0.83	3.0E-14	Duplicated	PF01198;
PGOHUM00000249751	8	95700466	95700838	+	ENSP00000318646	0.98	0.709	1.0E-37	Processed	PF00410;
PGOHUM00000249754	8	98877282	98877710	+	ENSP00000296674	1.0	0.846	0.0	Processed	PF00164;
PGOHUM00000249755	8	99645768	99646097	+	ENSP00000389649	0.95	0.809	2.94273E-44	Processed	PF05511;
PGOHUM00000250038	8	99794283	99794854	+	ENSP00000225430	0.97	0.78	8.00001E-41	Processed	PF01280;
PGOHUM00000249757	8	100708176	100710242	+	ENSP00000305653	0.96	0.763	0.0	Processed	PF07766;
PGOHUM00000249759	8	103166766	103166939	+	ENSP00000401770	0.77	0.672	4.0E-16	Processed	PF08039;
PGOHUM00000249761	8	103515983	103516366	+	ENSP00000230050	0.99	0.611	3.0E-22	Processed	PF01248;
PGOHUM00000249762	8	104028972	104029715	+	ENSP00000377408	0.99	0.686	1.0E-38	Processed	PF03066;
PGOHUM00000249763	8	104097895	104098821	+	ENSP00000354687	0.98	0.524	2.0E-26	Processed	PF00146;
PGOHUM00000249764	8	104099338	104100261	+	ENSP00000355046	0.86	0.482	1.0E-10	Processed	PF00361;PF06444;
PGOHUM00000249765	8	104101659	104102999	+	ENSP00000354499	0.87	0.594	0.0	Processed	PF00115;
PGOHUM00000249767	8	104780509	104781254	+	ENSP00000369757	1.0	0.867	0.0	Processed	PF01092;
PGOHUM00000249768	8	105578314	105578657	+	ENSP00000347988	1.0	0.75	1.0E-32	Processed	PF04716;
PGOHUM00000249769	8	106023335	106023793	+	ENSP00000294189	1.0	0.818	8.0E-32	Processed	PF01779;
PGOHUM00000249771	8	107227993	107229533	+	ENSP00000400352	0.82	0.85	0.0	Duplicated	PF07690;
PGOHUM00000249772	8	108659508	108660261	+	ENSP00000359991	1.0	0.625	5.0E-33	Processed	PF00300;
PGOHUM00000249773	8	108995345	108996196	+	ENSP00000277746	1.0	0.951	0.0	Processed	PF08961;
PGOHUM00000249774	8	109584874	109585194	+	ENSP00000403407	0.87	0.835	1.0E-29	Processed	PF00226;
PGOHUM00000249775	8	109664604	109665542	+	ENSP00000297994	1.0	0.673	1.0E-38	Processed	PF01746;
PGOHUM00000249779	8	111567816	111568731	+	ENSP00000339110	0.97	0.728	0.0	Processed	PF02099;PF02809;
PGOHUM00000249782	8	113551118	113551543	+	ENSP00000287038	1.0	0.72	2.0E-31	Duplicated	PF01248;
PGOHUM00000249787	8	124135350	124135924	+	ENSP00000343040	0.9	0.701	3.0E-37	Processed	PF00505;
PGOHUM00000249788	8	124249092	124249456	+	ENSP00000388107	1.0	0.845	1.96182E-44	Processed	PF00240;PF01020;
PGOHUM00000249791	8	124412813	124414346	+	ENSP00000265385	0.91	0.874	0.0	Processed	PF00478;PF00571;
PGOHUM00000249792	8	125154141	125155750	+	ENSP00000306726	0.96	0.81	0.0	Duplicated	PF00431;
PGOHUM00000249793	8	125164165	125164677	+	ENSP00000272102	1.0	0.68	0.0	Processed	PF00025;PF00071;PF08477;
PGOHUM00000249795	8	125932672	125934216	+	ENSP00000367604	1.0	0.74	0.0	Duplicated	PF01544;
PGOHUM00000249797	8	128304478	128304687	+	ENSP00000272348	0.92	0.543	3.0E-13	Processed	PF01423;
PGOHUM00000249800	8	130876724	130877219	+	ENSP00000405590	1.0	0.678	1.0E-23	Processed	PF00827;
PGOHUM00000249802	8	134338240	134338644	+	ENSP00000380156	1.0	0.852	0.0	Processed	PF01655;
PGOHUM00000249807	8	138708967	138710707	+	ENSP00000359024	1.0	0.586	1.0E-24	Processed	PF05022;
PGOHUM00000249808	8	141049855	141050370	+	ENSP00000395680	0.85	0.403	3.0E-11	Processed	PF02800;
PGOHUM00000249809	8	142469175	142470128	+	ENSP00000333504	1.0	0.885	0.0	Processed	PF00076;
PGOHUM00000249811	8	143939770	143940210	+	ENSP00000304593	0.95	0.803	0.0	Processed	PF04438;
PGOHUM00000249812	8	144077327	144077899	+	ENSP00000337669	1.0	0.88	0.0	Processed	PF00071;PF08477;
PGOHUM00000249814	8	145462709	145471644	+	ENSP00000381649	0.51	0.94	5.0E-27	Duplicated	PF02985;
PGOHUM00000241163	X	484501	484837	-	ENSP00000297258	1.0	0.6	5.0E-34	Processed	PF00061;
PGOHUM00000241165	X	970464	970836	-	ENSP00000391446	1.0	0.766	2.0E-38	Processed	PF01929;
PGOHUM00000241167	X	3030934	3031635	-	ENSP00000384056	0.99	0.72	3.0E-16	Duplicated	PF01282;
PGOHUM00000241173	X	5086959	5087480	-	ENSP00000354665	1.0	0.69	3.0E-36	Processed	PF00499;
PGOHUM00000241174	X	5223755	5225163	-	ENSP00000325136	1.0	0.843	0.0	Processed	PF00108;PF02803;
PGOHUM00000241177	X	6340139	6340742	-	ENSP00000196551	1.0	0.862	0.0	Processed	PF00177;
PGOHUM00000241184	X	8948466	8950527	-	ENSP00000359024	0.99	0.73	5.0E-12	Processed	PF05022;
PGOHUM00000241185	X	9786279	9787509	-	ENSP00000216554	1.0	0.835	0.0	Processed	PF01873;PF02020;
PGOHUM00000241187	X	11352353	11354021	-	ENSP00000245206	1.0	0.7	0.0	Duplicated	PF00155;
PGOHUM00000241188	X	11722243	11723731	-	ENSP00000330470	0.89	0.744	0.0	Processed	PF00069;PF00412;PF00595;PF07714;
PGOHUM00000241193	X	13396857	13397459	-	ENSP00000407375	1.0	0.956	0.0	Processed	PF00255;
PGOHUM00000241194	X	14852596	14853443	-	ENSP00000296930	1.0	0.864	0.0	Processed	PF03066;
PGOHUM00000241196	X	15135562	15135890	-	ENSP00000393393	1.0	0.818	3.0E-40	Processed	PF01247;
PGOHUM00000241198	X	16216554	16217414	-	ENSP00000202773	1.0	0.855	0.0	Processed	PF01159;PF03868;
PGOHUM00000241201	X	17117905	17118440	-	ENSP00000391494	0.97	0.897	0.0	Processed	PF00385;PF01393;
PGOHUM00000241204	X	17787128	17787524	-	ENSP00000037869	1.0	0.696	6.0E-31	Processed	PF05811;
PGOHUM00000241207	X	19514484	19515288	-	ENSP00000216554	0.72	0.417	6.0E-13	Processed	PF01873;PF02020;
PGOHUM00000241216	X	27236251	27237091	-	ENSP00000352976	0.81	0.572	0.0	Processed	PF07998;
PGOHUM00000241217	X	27445838	27446348	-	ENSP00000359685	1.0	0.665	0.0	Processed	PF00102;PF00782;
PGOHUM00000241218	X	27478918	27481413	-	ENSP00000385912	1.0	0.605	0.0	Processed	PF04802;
PGOHUM00000241224	X	28677182	28677586	-	ENSP00000254810	1.0	0.868	0.0	Processed	PF00125;
PGOHUM00000241225	X	30035280	30035998	-	ENSP00000281382	1.0	0.679	3.9937E-43	Processed	PF06699;
PGOHUM00000241231	X	36392911	36393298	-	ENSP00000318646	1.0	0.869	1.4013E-45	Processed	PF00410;
PGOHUM00000241234	X	37061105	37061608	-	ENSP00000273550	0.92	0.655	0.0	Processed	PF00210;
PGOHUM00000241235	X	37095942	37096474	-	ENSP00000368207	0.97	0.736	0.0	Processed	PF00210;
PGOHUM00000241238	X	38344014	38344517	-	ENSP00000366525	0.97	0.647	1.4013E-45	Processed	PF00210;
PGOHUM00000241239	X	38391179	38393433	-	ENSP00000302640	1.0	0.676	0.0	Processed	PF00505;
PGOHUM00000241240	X	39646389	39647390	-	ENSP00000229239	1.0	0.928	0.0	Processed	PF00044;PF02800;
PGOHUM00000241243	X	40619345	40620572	-	ENSP00000396638	0.98	0.76	6.00036E-42	Duplicated	PF00822;
PGOHUM00000241245	X	40749900	40750790	-	ENSP00000260130	1.0	0.896	0.0	Processed	PF00595;
PGOHUM00000241246	X	40794238	40795117	-	ENSP00000341885	1.0	0.986	0.0	Processed	PF00333;PF03719;
PGOHUM00000241249	X	41958007	41958459	-	ENSP00000340315	0.96	0.874	0.0	Processed	PF00137;
PGOHUM00000241251	X	42636818	42637330	-	ENSP00000328178	0.84	0.471	7.0E-27	Processed	PF04979;
PGOHUM00000241253	X	43266913	43267797	-	ENSP00000229307	0.98	0.87	0.0	Processed	PF00046;
PGOHUM00000241254	X	44168563	44169722	-	ENSP00000302955	1.0	0.928	0.0	Processed	PF00268;
PGOHUM00000241257	X	45240775	45241318	-	ENSP00000219207	1.0	0.901	0.0	Processed	PF01284;
PGOHUM00000241258	X	45491535	45492978	-	ENSP00000293308	1.0	0.844	0.0	Processed	PF00038;
PGOHUM00000241260	X	45918187	45918963	-	ENSP00000368438	1.0	0.858	0.0	Processed	PF00705;PF02747;
PGOHUM00000241261	X	46147449	46148563	-	ENSP00000349960	1.0	0.796	0.0	Processed	PF00022;
PGOHUM00000241262	X	46277881	46279511	-	ENSP00000355050	1.0	0.792	0.0	Processed	PF08216;
PGOHUM00000241263	X	46299144	46300149	-	ENSP00000229239	1.0	0.919	0.0	Processed	PF00044;PF02800;
PGOHUM00000241266	X	46506032	46506765	-	ENSP00000359991	1.0	0.775	0.0	Processed	PF00300;
PGOHUM00000241267	X	46544223	46544933	-	ENSP00000361621	0.81	0.535	1.0E-33	Processed	PF00313;
PGOHUM00000241268	X	46584597	46585253	-	ENSP00000223500	1.0	0.904	0.0	Processed	PF03357;
PGOHUM00000241269	X	47016040	47017592	-	ENSP00000267615	1.0	0.8	0.0	Duplicated	PF05770;
PGOHUM00000241271	X	47249360	47250735	-	ENSP00000272638	0.78	0.439	1.0E-19	Processed	PF00789;
PGOHUM00000241272	X	47298135	47299171	-	ENSP00000377408	0.97	0.7	5.0E-23	Duplicated	PF03066;
PGOHUM00000241275	X	47636271	47638056	-	ENSP00000364645	0.09	0.5	0.0	Duplicated	PF00096;PF01352;
PGOHUM00000241276	X	47700365	47701101	-	ENSP00000346063	1.0	0.919	0.0	Processed	PF00327;
PGOHUM00000241277	X	48013299	48015369	-	ENSP00000357838	1.0	0.85	2.0E-29	Duplicated	PF00202;
PGOHUM00000241278	X	48037165	48037459	-	ENSP00000271638	0.99	0.712	3.0E-23	Processed	PF00036;PF01023;
PGOHUM00000241279	X	48088126	48088420	-	ENSP00000271638	0.99	0.683	2.0E-21	Processed	PF00036;PF01023;
PGOHUM00000241280	X	48134194	48134485	-	ENSP00000271638	0.99	0.692	3.0E-24	Processed	PF00036;PF01023;
PGOHUM00000241281	X	48136138	48137013	-	ENSP00000312415	0.59	0.86	5.0E-17	Duplicated	PF01352;
PGOHUM00000241282	X	48196338	48196632	-	ENSP00000271638	0.99	0.702	5.0E-24	Processed	PF00036;PF01023;
PGOHUM00000241284	X	48239585	48240451	-	ENSP00000357838	0.41	0.85	1.0E-36	Duplicated	PF00202;
PGOHUM00000241286	X	48281728	48306831	-	ENSP00000357838	0.93	0.88	0.0	Duplicated	PF00202;
PGOHUM00000241289	X	48634411	48635385	-	ENSP00000285093	0.83	0.931	0.0	Processed	PF00108;PF02803;
PGOHUM00000241290	X	49090379	49090960	-	ENSP00000248553	1.0	0.849	0.0	Processed	PF00011;
PGOHUM00000241291	X	49397106	49397955	-	ENSP00000265333	1.0	0.961	0.0	Processed	PF01459;
PGOHUM00000241292	X	49429450	49433292	-	ENSP00000251020	0.98	0.831	0.0	Processed	PF00096;
PGOHUM00000241294	X	50125488	50146178	-	ENSP00000264057	0.46	0.66	7.0E-13	Duplicated	PF00130;PF00169;PF00536;PF00609;PF00781;PF07647;PF07649;
PGOHUM00000241295	X	50673963	50674548	-	ENSP00000343040	0.91	0.756	0.0	Processed	PF00505;
PGOHUM00000241297	X	51360949	51361725	-	ENSP00000299736	0.99	0.554	0.0	Processed	PF04828;
PGOHUM00000241298	X	51424988	51425764	-	ENSP00000299736	0.99	0.542	0.0	Processed	PF04828;
PGOHUM00000241300	X	51722319	51723108	-	ENSP00000312304	1.0	0.722	0.0	Processed	PF05724;
PGOHUM00000241303	X	52227942	52229057	-	ENSP00000199814	0.9	0.566	0.0	Processed	PF00076;PF00642;
PGOHUM00000241309	X	52500882	52501997	-	ENSP00000199814	0.9	0.566	0.0	Processed	PF00076;PF00642;
PGOHUM00000250050	X	52635582	52734579	-	ENSP00000312415	0.79	0.84	2.0E-24	Duplicated	PF01352;
PGOHUM00000241314	X	52716414	52716708	-	ENSP00000271638	0.99	0.673	5.0E-22	Processed	PF00036;PF01023;
PGOHUM00000241316	X	52777572	52779905	-	ENSP00000357838	1.0	0.83	2.0E-34	Duplicated	PF00202;
PGOHUM00000241318	X	52861893	52862949	-	ENSP00000413529	0.99	0.906	0.0	Processed	PF00270;PF00271;
PGOHUM00000241322	X	53172009	53173095	-	ENSP00000331514	1.0	0.804	0.0	Processed	PF00022;
PGOHUM00000241325	X	53483101	53483975	-	ENSP00000261881	0.96	0.853	0.0	Processed	PF07962;
PGOHUM00000241330	X	55081889	55082349	-	ENSP00000299633	0.77	0.785	3.0E-16	Processed	PF00855;
PGOHUM00000241333	X	55205565	55206596	-	ENSP00000355046	1.0	0.645	1.0E-30	Processed	PF00361;PF06444;
PGOHUM00000241334	X	55206806	55207752	-	ENSP00000354687	1.0	0.723	1.96182E-44	Processed	PF00146;
PGOHUM00000241341	X	56269373	56269824	-	ENSP00000347969	0.95	0.841	0.0	Processed	PF00276;PF03939;
PGOHUM00000241342	X	56763678	56764010	-	ENSP00000287022	1.0	0.901	0.0	Processed	PF02271;
PGOHUM00000241343	X	57095347	57096079	-	ENSP00000275988	0.95	0.752	0.0	Processed	PF02513;
PGOHUM00000241344	X	57419079	57421842	-	ENSP00000216605	1.0	0.891	0.0	Processed	PF00763;PF01268;PF02882;
PGOHUM00000241345	X	57703500	57706693	-	ENSP00000263437	1.0	0.758	0.0	Processed	PF00560;PF02758;PF05729;
PGOHUM00000241346	X	57960268	57961279	-	ENSP00000335376	0.93	0.671	2.0E-37	Processed	PF00010;PF01056;
PGOHUM00000241348	X	62518999	62519548	-	ENSP00000391494	0.99	0.915	0.0	Processed	PF00385;PF01393;
PGOHUM00000241349	X	63364789	63366932	-	ENSP00000355459	0.88	0.46	2.0E-29	Duplicated	PF00096;PF01352;
PGOHUM00000241350	X	63524926	63526620	-	ENSP00000334373	1.0	0.72	0.0	Duplicated	PF00514;PF01749;PF02985;
PGOHUM00000241351	X	63832467	63833171	-	ENSP00000309503	0.97	0.84	0.0	Processed	PF00244;
PGOHUM00000241352	X	63917755	63918428	-	ENSP00000329558	1.0	0.849	0.0	Processed	PF01025;
PGOHUM00000241354	X	64404831	64406096	-	ENSP00000332455	0.84	0.543	2.0E-20	Processed	PF00514;PF01749;PF02985;
PGOHUM00000241355	X	64547871	64551074	-	ENSP00000368850	0.89	0.77	2.0E-40	Duplicated	PF05712;
PGOHUM00000241358	X	64992584	64993475	-	ENSP00000229307	1.0	0.862	0.0	Processed	PF00046;
PGOHUM00000241363	X	65275432	65276427	-	ENSP00000374035	1.0	0.772	0.0	Processed	PF08209;
PGOHUM00000241364	X	65295136	65296187	-	ENSP00000414531	0.57	0.85	0.0	Duplicated	PF00076;
PGOHUM00000241365	X	65580611	65581616	-	ENSP00000262146	1.0	0.688	0.0	Processed	PF05308;
PGOHUM00000241366	X	67011806	67012737	-	ENSP00000365851	0.99	0.674	0.0	Processed	PF00097;
PGOHUM00000241367	X	67290365	67291609	-	ENSP00000305995	1.0	0.801	0.0	Processed	PF00162;
PGOHUM00000241369	X	68705193	68705495	-	ENSP00000307786	0.97	0.745	1.0E-34	Processed	PF00034;
PGOHUM00000241370	X	69157013	69157867	-	ENSP00000355279	1.0	0.93	0.0	Processed	PF04857;
PGOHUM00000241372	X	69340206	69341312	-	ENSP00000354554	0.98	0.642	0.0	Processed	PF00032;PF00033;
PGOHUM00000241373	X	69345194	69347221	-	ENSP00000354813	0.8	0.64	0.0	Duplicated	PF00361;PF00662;PF06455;
PGOHUM00000241374	X	69347469	69348946	-	ENSP00000354961	0.38	0.64	5.0E-15	Duplicated	PF00361;PF01059;
PGOHUM00000241375	X	69581274	69582224	-	ENSP00000301021	1.0	0.82	7.0E-27	Duplicated	PF04628;
PGOHUM00000241377	X	70236381	70236755	-	ENSP00000219169	1.0	0.898	0.0	Processed	PF02136;
PGOHUM00000241378	X	70263064	70265320	-	ENSP00000305133	1.0	0.78	0.0	Duplicated	PF00017;PF07525;
PGOHUM00000241379	X	70534762	70535729	-	ENSP00000266529	1.0	0.9	4.0E-36	Duplicated	PF00076;PF00098;
PGOHUM00000241381	X	70639969	70640822	-	ENSP00000380446	0.96	0.891	0.0	Processed	PF00076;
PGOHUM00000241382	X	70711936	70712603	-	ENSP00000345202	1.0	0.692	1.4013E-45	Processed	PF00628;
PGOHUM00000241386	X	71947805	71948646	-	ENSP00000263168	1.0	0.819	0.0	Processed	PF01267;
PGOHUM00000241393	X	72744797	72745991	-	ENSP00000262445	1.0	0.899	0.0	Processed	PF00069;
PGOHUM00000241395	X	73380898	73382363	-	ENSP00000255977	1.0	0.8	0.0	Processed	PF00097;PF00642;
