#Biotype
#   PSSD  - processed pseudogene
#   DUP    - duplicated pseudogene
#   FRAG  - ambiguous pseudogene
#
#Activity features
#    Tnx - transcription
#    Pol2 - polymerase 2 binding sites
#    AC - active chromatin
#    TF - transcription factor binding sites
#
#Activity test result:
#    0 - no activity feature
#    1 - the activity feature is present
#
#
#Pseudogene_id		Biotype	Parent_gene		Parent_transcript	Activity_features
ENST00000509021.1	DUP	ENSG00000196620.4	ENST00000338206.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000515543.1	PSSD	ENSG00000164687.6	ENST00000297258.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000399931.2	PSSD	ENSG00000086065.8	ENST00000223500.7	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000535801.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438328.1	PSSD	ENSG00000174842.11	ENST00000370360.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000520243.1	PSSD	ENSG00000211638.2	ENST00000390283.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000507181.1	DUP	ENSG00000189099.6	ENST00000455694.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000432206.1	PSSD	ENSG00000111640.8	ENST00000229239.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000515313.1	PSSD	ENSG00000111640.8	ENST00000229239.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000414169.1	unitary_pseudogene	ENSG00000203730.2	ENST00000367565.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000435433.1	PSSD	ENSG00000137414.4	ENST00000259963.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000423198.1	PSSD	ENSG00000065518.7	ENST00000485064.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000411843.1	PSSD	ENSG00000131469.7	ENST00000253788.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000388967.3	PSSD	ENSG00000144381.10	ENST00000388968.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000442790.2	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000513483.1	PSSD	ENSG00000174667.2	ENST00000308682.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000509905.1	PSSD	ENSG00000005022.5	ENST00000317881.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000509306.1	DUP	ENSG00000197938.4	ENST00000355273.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000407266.1	PSSD	ENSG00000130255.6	ENST00000394580.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000455429.1	PSSD	ENSG00000197223.7	ENST00000355848.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430475.1	PSSD	ENSG00000148498.11	ENST00000544292.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435821.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000427504.1	PSSD	ENSG00000007384.9	ENST00000262316.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000429445.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000473404.1	PSSD	ENSG00000177954.7	ENST00000368567.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000338790.4	PSSD	ENSG00000197681.7	ENST00000518551.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000325612.5	PSSD	ENSG00000125691.7	ENST00000394332.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000506751.1	PSSD	.	.	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000428824.2	PSSD	ENSG00000204531.7	ENST00000259915.6	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000433284.1	PSSD	ENSG00000136942.9	ENST00000348462.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426806.1	PSSD	ENSG00000198242.7	ENST00000422514.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412199.1	PSSD	ENSG00000131469.7	ENST00000253788.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438821.1	PSSD	ENSG00000145337.4	ENST00000273968.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000420753.2	PSSD	ENSG00000197701.7	ENST00000509152.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000460975.1	PSSD	ENSG00000155621.8	ENST00000377031.3	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000285274.4	DUP	ENSG00000187607.9	ENST00000421016.1	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000467631.1	PSSD	ENSG00000254772.2	ENST00000378019.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000437957.1	DUP	ENSG00000154016.7	ENST00000284154.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000427282.1	PSSD	ENSG00000182899.10	ENST00000464167.1	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000445491.1	PSSD	ENSG00000164167.5	ENST00000502781.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000428659.1	PSSD	ENSG00000100575.7	ENST00000395159.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000512142.1	PSSD	ENSG00000178996.8	ENST00000343017.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000420084.1	DUP	.	.	Tnx_1:Pol2_1:AC_1:TF_1
ENST00000447420.1	PSSD	ENSG00000140988.8	ENST00000343262.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000527814.1	PSSD	ENSG00000141446.5	ENST00000383276.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000496620.1	DUP	ENSG00000139675.10	ENST00000342657.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000429037.1	DUP	.	.	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000453244.1	PSSD	ENSG00000167085.6	ENST00000300408.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000439189.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413798.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000520681.1	IG_V_pseudogene	ENSG00000211668.2	ENST00000390314.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000429771.1	unitary_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000462701.1	PSSD	ENSG00000145425.5	ENST00000514682.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000523070.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000439946.1	PSSD	ENSG00000189043.5	ENST00000339600.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510179.1	PSSD	ENSG00000119328.7	ENST00000322940.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000534364.1	DUP	ENSG00000181961.2	ENST00000314721.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412546.1	PSSD	ENSG00000119616.6	ENST00000341162.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000455287.1	PSSD	ENSG00000152700.8	ENST00000505758.1	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000418805.1	PSSD	ENSG00000215126.5	ENST00000377391.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000427811.1	PSSD	ENSG00000164096.10	ENST00000399075.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421191.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000436366.1	PSSD	ENSG00000184182.12	ENST00000409633.1	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000423389.1	PSSD	ENSG00000225932.3	ENST00000486333.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000525742.1	PSSD	ENSG00000164236.6	ENST00000296657.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000514978.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000450289.1	PSSD	ENSG00000106615.5	ENST00000262187.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000514817.1	PSSD	ENSG00000140598.8	ENST00000268206.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430731.1	PSSD	ENSG00000162980.11	ENST00000295087.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000453474.1	DUP	ENSG00000234414.3	ENST00000382707.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000504319.1	PSSD	ENSG00000106588.6	ENST00000223321.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000448974.1	PSSD	ENSG00000184779.7	ENST00000330339.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000400154.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442667.1	PSSD	ENSG00000170779.9	ENST00000336219.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000474399.2	PSSD	ENSG00000089009.8	ENST00000424576.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000462007.1	PSSD	ENSG00000008988.5	ENST00000519807.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418778.1	PSSD	ENSG00000101782.9	ENST00000339486.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000328713.5	PSSD	ENSG00000111640.8	ENST00000229239.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000529289.1	DUP	ENSG00000189253.7	ENST00000329862.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000508390.1	PSSD	ENSG00000126453.4	ENST00000246785.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000505515.1	PSSD	ENSG00000173113.2	ENST00000539854.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000411918.1	PSSD	ENSG00000152234.7	ENST00000282050.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000405153.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441215.1	DUP	ENSG00000108443.8	ENST00000225577.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000494130.1	PSSD	ENSG00000124614.9	ENST00000344700.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000508037.1	PSSD	ENSG00000029993.10	ENST00000325307.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000509944.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000492623.1	PSSD	ENSG00000161970.7	ENST00000293842.4	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000515599.1	PSSD	ENSG00000170421.5	ENST00000293308.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000507707.1	PSSD	ENSG00000142864.10	ENST00000370995.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000433537.1	PSSD	ENSG00000135486.10	ENST00000330752.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000500626.2	DUP	ENSG00000116580.12	ENST00000437809.1	Tnx_1:Pol2_1:AC_0:TF_1
ENST00000521750.1	PSSD	ENSG00000204531.7	ENST00000259915.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000443027.1	PSSD	ENSG00000160111.6	ENST00000443236.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000435991.1	PSSD	ENSG00000113597.12	ENST00000231526.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000489915.1	PSSD	ENSG00000089009.8	ENST00000202773.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000425761.1	PSSD	ENSG00000167996.10	ENST00000273550.7	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000417594.1	PSSD	ENSG00000147604.9	ENST00000396467.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000482574.1	PSSD	ENSG00000145425.5	ENST00000322686.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428803.1	PSSD	ENSG00000147604.9	ENST00000396467.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421658.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000331267.5	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000440661.1	PSSD	ENSG00000145337.4	ENST00000273968.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000532938.1	DUP	ENSG00000221840.2	ENST00000319760.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510090.1	PSSD	ENSG00000135220.6	ENST00000251566.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418260.2	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000478954.1	PSSD	ENSG00000082146.6	ENST00000194530.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000467186.1	PSSD	ENSG00000149823.3	ENST00000279281.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000507570.1	PSSD	ENSG00000105185.5	ENST00000221784.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000484903.2	PSSD	ENSG00000074800.8	ENST00000234590.4	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000398672.2	PSSD	ENSG00000137492.3	ENST00000260045.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000448922.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000453641.1	PSSD	ENSG00000124614.9	ENST00000344700.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000395315.2	PSSD	ENSG00000198242.7	ENST00000394935.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000524174.1	PSSD	ENSG00000139146.8	ENST00000337682.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000475874.1	PSSD	ENSG00000162244.5	ENST00000466397.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000482557.1	PSSD	ENSG00000182899.10	ENST00000464167.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000402666.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000330492.4	PSSD	ENSG00000117519.11	ENST00000538964.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517449.1	IG_V_pseudogene	ENSG00000242580.1	ENST00000468879.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000545329.1	unitary_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000440210.1	DUP	ENSG00000146733.9	ENST00000395471.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511357.2	PSSD	ENSG00000121481.6	ENST00000367510.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000464473.1	PSSD	ENSG00000196262.8	ENST00000468812.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000406795.2	DUP	ENSG00000189180.9	ENST00000374618.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526502.1	PSSD	ENSG00000223443.2	ENST00000333796.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000449274.1	PSSD	ENSG00000187210.8	ENST00000442371.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454831.1	PSSD	ENSG00000118579.6	ENST00000503945.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000494341.1	PSSD	ENSG00000198242.7	ENST00000422514.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510579.1	PSSD	ENSG00000106609.11	ENST00000341567.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000453465.1	PSSD	ENSG00000125944.12	ENST00000374616.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000521814.1	PSSD	ENSG00000122696.8	ENST00000242275.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404531.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000481681.1	PSSD	ENSG00000162244.5	ENST00000466397.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000437562.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421567.1	PSSD	ENSG00000074657.8	ENST00000336078.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413824.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000452058.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413598.1	PSSD	ENSG00000153551.9	ENST00000349718.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517740.1	PSSD	ENSG00000181449.2	ENST00000325404.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426710.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510094.1	PSSD	ENSG00000171405.8	ENST00000375503.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454758.1	PSSD	ENSG00000105058.6	ENST00000263384.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000483523.1	PSSD	ENSG00000221983.2	ENST00000442744.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000425442.1	PSSD	ENSG00000182004.8	ENST00000414487.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000515074.1	PSSD	ENSG00000065911.7	ENST00000394053.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000403291.1	PSSD	ENSG00000126945.7	ENST00000457902.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000480555.1	PSSD	ENSG00000142541.10	ENST00000391857.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457904.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000436830.1	PSSD	ENSG00000163632.8	ENST00000295896.8	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000317045.6	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000528228.1	PSSD	ENSG00000151247.8	ENST00000450253.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000401435.1	PSSD	ENSG00000155368.12	ENST00000311521.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000398028.2	PSSD	ENSG00000115539.9	ENST00000264254.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000520373.1	PSSD	ENSG00000123684.8	ENST00000366997.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441378.1	PSSD	ENSG00000233927.2	ENST00000449223.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000492080.1	DUP	ENSG00000214324.1	ENST00000398112.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000464124.2	PSSD	ENSG00000108107.6	ENST00000426763.1	Tnx_1:Pol2_1:AC_1:TF_0
ENST00000411933.1	PSSD	ENSG00000145425.5	ENST00000515818.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000451056.1	PSSD	ENSG00000143252.9	ENST00000367975.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000515049.1	PSSD	ENSG00000053372.4	ENST00000330263.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000526467.1	PSSD	ENSG00000196119.5	ENST00000284287.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000447509.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000453854.1	PSSD	ENSG00000189403.9	ENST00000405805.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000446498.1	PSSD	ENSG00000215472.3	ENST00000418495.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424412.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526613.1	PSSD	ENSG00000149823.3	ENST00000528588.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000541242.1	PSSD	ENSG00000057294.7	ENST00000070846.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511878.1	DUP	ENSG00000184674.7	ENST00000248935.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000431648.1	DUP	ENSG00000172014.11	ENST00000357336.3	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000521828.1	PSSD	ENSG00000106245.5	ENST00000403633.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000456871.1	PSSD	ENSG00000168028.8	ENST00000458478.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000527404.1	PSSD	ENSG00000101966.8	ENST00000430625.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000417868.1	PSSD	ENSG00000147872.5	ENST00000411567.1	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000446970.1	PSSD	ENSG00000170315.6	ENST00000302182.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000537175.1	PSSD	ENSG00000092201.3	ENST00000216297.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000455514.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426647.1	DUP	ENSG00000173852.8	ENST00000310974.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000514827.1	DUP	ENSG00000176547.6	ENST00000395239.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000520775.1	PSSD	ENSG00000152382.5	ENST00000367874.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526582.1	PSSD	ENSG00000117859.14	ENST00000371710.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000442276.1	PSSD	ENSG00000096654.10	ENST00000211936.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457490.1	PSSD	ENSG00000241343.2	ENST00000427805.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000513820.1	PSSD	ENSG00000122545.12	ENST00000399034.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442271.1	DUP	ENSG00000239430.2	ENST00000360436.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000509348.2	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000503089.1	DUP	ENSG00000137207.6	ENST00000372422.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000392730.2	PSSD	ENSG00000167526.8	ENST00000393099.3	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000509767.1	DUP	ENSG00000143153.7	ENST00000367816.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000519625.1	PSSD	ENSG00000114942.9	ENST00000392222.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000429216.1	PSSD	ENSG00000135486.10	ENST00000340913.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421721.1	PSSD	ENSG00000110700.2	ENST00000525634.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441505.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505191.1	PSSD	ENSG00000237521.1	ENST00000456448.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000499125.3	PSSD	ENSG00000205581.6	ENST00000361263.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000469884.1	PSSD	ENSG00000140988.8	ENST00000343262.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000478252.1	PSSD	ENSG00000162521.12	ENST00000373493.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000519198.1	PSSD	ENSG00000204527.1	ENST00000376239.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000429302.1	DUP	ENSG00000188558.4	ENST00000343414.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000486095.1	PSSD	ENSG00000204619.3	ENST00000376772.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000505179.1	PSSD	ENSG00000100387.8	ENST00000216225.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418257.1	DUP	ENSG00000185745.8	ENST00000546318.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000518378.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000506570.1	PSSD	ENSG00000173141.4	ENST00000309594.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000452221.1	PSSD	ENSG00000137760.10	ENST00000389568.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413308.1	PSSD	ENSG00000122545.12	ENST00000425198.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414817.1	PSSD	ENSG00000081154.7	ENST00000265260.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000404250.1	PSSD	ENSG00000164587.7	ENST00000407193.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000443343.1	DUP	ENSG00000135047.9	ENST00000342020.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424262.1	PSSD	ENSG00000156482.6	ENST00000521291.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000376401.4	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441775.1	PSSD	ENSG00000129559.7	ENST00000250495.5	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000460239.1	PSSD	ENSG00000163682.10	ENST00000449470.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000431724.1	DUP	ENSG00000165115.9	ENST00000297814.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000431854.1	PSSD	ENSG00000155115.6	ENST00000329970.7	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000455109.1	PSSD	ENSG00000110958.9	ENST00000414274.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000434525.1	PSSD	ENSG00000184779.7	ENST00000330339.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438601.1	PSSD	ENSG00000126698.5	ENST00000263697.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000434403.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000532733.1	DUP	ENSG00000182634.7	ENST00000330487.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000519785.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000519334.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000407768.1	PSSD	ENSG00000140988.8	ENST00000533186.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505463.1	PSSD	ENSG00000111057.5	ENST00000388835.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505707.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000522168.1	PSSD	ENSG00000164893.4	ENST00000297524.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510511.1	PSSD	ENSG00000104231.6	ENST00000521895.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000492033.1	PSSD	ENSG00000135930.9	ENST00000409514.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000429409.1	PSSD	ENSG00000196715.4	ENST00000360768.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503910.1	DUP	ENSG00000237521.1	ENST00000456448.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000482859.1	PSSD	ENSG00000148303.12	ENST00000323345.6	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000442243.1	PSSD	ENSG00000176396.8	ENST00000539700.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000456760.1	PSSD	ENSG00000198586.8	ENST00000442919.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418085.1	PSSD	ENSG00000132341.5	ENST00000543796.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000434692.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000440231.1	DUP	ENSG00000181761.5	ENST00000313472.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000431591.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511202.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000381974.3	PSSD	ENSG00000132958.12	ENST00000400230.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000429856.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000468193.1	PSSD	ENSG00000109475.12	ENST00000394668.2	Tnx_0:Pol2_1:AC_0:TF_0
